course_link,canale,date_year,year,language,course_id,course_name,semester,professors,faculty
/cattedreonline/corso/S46/0/LMGAPPC/2024,0,2024,1,Italiano,S46,"Politica Comparata",Secondo Semestre,"Vincenzo Emanuele","Governo, amministrazione e politica"
/cattedreonline/corso/191/A/L22PSBASE/2024,A,2024,3,Italiano,191,"Politica Economica",I Semestre,"Paolo Garonna","Scienze politiche"
/cattedreonline/corso/191/B/L22PSBASE/2024,B,2024,3,Italiano,191,"Politica Economica",I Semestre,"Alfredo Macchiati","Scienze politiche"
/cattedreonline/corso/T010/0/L22PPEBASE/2024,0,2024,3,Inglese,T010,"Political Economy Of Development",I Semestre,"Silvio Daidone / Francesco Ferrante","Politics: philosophy and economics"
/cattedreonline/corso/GMP01/0/LM19GMBASE/2024,0,2024,1,Inglese,GMP01,"Political Economy Of Globalization",Primo Semestre,"Chiara Felli","Global management and politics"
/cattedreonline/corso/AN4/A/L22PPEBASE/2024,A,2024,1,Inglese,AN4,"Political Philosophy",II Semestre,"Sebastiano Maffettone","Politics: philosophy and economics"
/cattedreonline/corso/AN4/B/L22PPEBASE/2024,B,2024,1,Inglese,AN4,"Political Philosophy",II Semestre,"Patricia Mindus / Gianfranco Pellegrino","Politics: philosophy and economics"
/cattedreonline/corso/GMP12/0/LM19GMBASE/2024,0,2024,2,Inglese,GMP12,"Political Risk Analysis",Primo Semestre,"Francesco Galietti / Manfredi Valeriani","Global management and politics"
/cattedreonline/corso/T006/A/L22PPEBASE/2024,A,2024,2,Inglese,T006,"Political Science",II Semestre,"Marco Improta / Francesco Visconti","Politics: philosophy and economics"
/cattedreonline/corso/T006/B/L22PPEBASE/2024,B,2024,2,Inglese,T006,"Political Science",II Semestre,"Lorenzo De Sio","Politics: philosophy and economics"
/cattedreonline/corso/T020/0/L22PPEBASE/2024,0,2024,3,Inglese,T020,"Political Sociology",I Semestre,"Kristina Stoeckl","Politics: philosophy and economics"
/cattedreonline/corso/LABOIR1/0/LM20IRBASE/2024,0,2024,1,Inglese,LABOIR1,"Political Thought In The Mena",Secondo Semestre,"Mohammed Hashas","International relations"
/cattedreonline/corso/T055/0/L22PSBASE/2024,0,2024,3,Italiano,T055,"Politiche Dell'unione Europea",II Semestre,"Luciano Monti","Scienze politiche"
/cattedreonline/corso/EM44/0/LMGAPGA/2024,0,2024,2,Italiano,EM44,"Politiche E Strumenti Operativi Del Pnrr",Primo Semestre,"Marco De Giorgi","Governo, amministrazione e politica"
/cattedreonline/corso/T038/0/L22PSBASE/2024,0,2024,3,Inglese,T038,"Population Environment And Sustainability",II Semestre,"Alfonso Giordano / Gianfranco Pellegrino","Scienze politiche"
/cattedreonline/corso/T038/0/1EEL2BASE/2024,0,2024,3,Inglese,T038,"Population Environment And Sustainability",II Semestre,"Alfonso Giordano / Gianfranco Pellegrino","Economia e management"
/cattedreonline/corso/T038/0/L22PPEBASE/2024,0,2024,3,Inglese,T038,"Population Environment And Sustainability",II Semestre,"Alfonso Giordano / Gianfranco Pellegrino","Politics: philosophy and economics"
/cattedreonline/corso/M142/0/LM19ABASE/2024,0,2024,1,Italiano,M142,"Principi Contabili Internazionali",Secondo Semestre,"Fabrizio Di Lazzaro / Tommaso Fabi","Amministrazione, finanza e controllo"
/cattedreonline/corso/ABBM142/0/LM19ABASE/2024,0,2024,1,Italiano,ABBM142,"Principi Contabili Internazionali",Secondo Semestre,"Fabio Fortuna","Amministrazione, finanza e controllo"
/cattedreonline/corso/AIM03/0/LAIMBASE/2024,0,2024,1,Inglese,AIM03,"Principles Of Accounting",Primo Semestre,"Tommaso Fabi","Management and artificial intelligence"
/cattedreonline/corso/BA02/A/L21BABASE/2024,A,2024,1,Inglese,BA02,"Principles Of Accounting",Primo Semestre,"Riccardo Tiscini","Business administration"
/cattedreonline/corso/BA02/B/L21BABASE/2024,B,2024,1,Inglese,BA02,"Principles Of Accounting",Primo Semestre,"Giuseppe Maria Bifulco","Business administration"
/cattedreonline/corso/858/A/L21BBBASE/2024,A,2024,1,Inglese,858,"Principles Of Civil Law",II Semestre,"Bruno Tassone","Economics and business"
/cattedreonline/corso/858/B/L21BBBASE/2024,B,2024,1,Inglese,858,"Principles Of Civil Law",II Semestre,"Valerio Cosimo Romano","Economics and business"
