link,faculty
/cattedreonline/corso/SMDIM0023/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/SMDIM0023/0/19MLMBASE/2024,"Management"
/cattedreonline/corso/SMDIM0023/0/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/M514IN/0/LM19KMK/2024,"Marketing"
/cattedreonline/corso/M514IT/0/LM19KMA/2024,"Marketing"
/cattedreonline/corso/EM43/0/LMGAPPC/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/GMP14/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/ET49/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/M221/0/19MLMMI/2024,"Management"
/cattedreonline/corso/M221/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/M221/0/LM19GMBASE/2024,"Global management and politics"
/cattedreonline/corso/M221/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/M246/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/BA03/A/L21BABASE/2024,"Business administration"
/cattedreonline/corso/BA03/B/L21BABASE/2024,"Business administration"
/cattedreonline/corso/AG7/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/AG7/0/L21BBMA/2024,"Economics and business"
/cattedreonline/corso/M249/A/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/M249/B/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/EFI05/0/LMEFIAE/2024,"Economia e finanza"
/cattedreonline/corso/ACE02/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M496/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/AI7/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/AI7/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/TP01/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/TP05/0/3GSLMDZ/2024,"Giurisprudenza"
/cattedreonline/corso/M530/0/3GSLMDL/2024,"Giurisprudenza"
/cattedreonline/corso/EM63/0/19FLM1B/2024,"Economia e finanza"
/cattedreonline/corso/EM63/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/LABA01/A/L21BABASE/2024,"Business administration"
/cattedreonline/corso/LABA01/B/L21BABASE/2024,"Business administration"
/cattedreonline/corso/LABA02/A/L21BABASE/2024,"Business administration"
/cattedreonline/corso/LABA02/B/L21BABASE/2024,"Business administration"
/cattedreonline/corso/M540/0/LMGAPBASE/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/M377/0/3GSLMDA/2024,"Giurisprudenza"
/cattedreonline/corso/M377/0/LMPAGECHPM/2024,"Policies and governance in europe"
/cattedreonline/corso/M043/A/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M043/B/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/SKA/A/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/SKA/B/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M042/A/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M042/B/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/M369/0/LMPAGEBASE/2024,"Policies and governance in europe"
/cattedreonline/corso/JP01/0/LMDSMBASE/2024,"Data science and management"
/cattedreonline/corso/SMDEF0008/0/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/SMDEF0008/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/BA08/0/L21BABASE/2024,"Business administration"
/cattedreonline/corso/ET38/0/L21BABASE/2024,"Business administration"
